ordre;famille;cd_nom;lb_nom;nom_vern;habitat;statut;url
Passeriformes;Tyrannidae;442094;Myiarchus oberi;Tyran janeau;3;;https://inpn.mnhn.fr/espece/cd_nom/442094
Passeriformes;Tyrannidae;645237;Myiarchus stolidus;Tyran grosse-tête;3;;https://inpn.mnhn.fr/espece/cd_nom/645237
Passeriformes;Tyrannidae;442095;Myiarchus swainsoni;;3;;https://inpn.mnhn.fr/espece/cd_nom/442095
Passeriformes;Tyrannidae;442096;Myiarchus tuberculifer;Tyran olivâtre ;3;;https://inpn.mnhn.fr/espece/cd_nom/442096
Passeriformes;Tyrannidae;442097;Myiarchus tyrannulus;Tyran de Wied ;3;;https://inpn.mnhn.fr/espece/cd_nom/442097
Passeriformes;Tyrannidae;442098;Myiobius barbatus;Moucherolle barbichon ;3;;https://inpn.mnhn.fr/espece/cd_nom/442098
Passeriformes;Tyrannidae;442100;Myiodynastes maculatus;Tyran audacieux ;3;;https://inpn.mnhn.fr/espece/cd_nom/442100
Passeriformes;Tyrannidae;829172;Muscicapa maculata;Tyran audacieux ;3;;https://inpn.mnhn.fr/espece/cd_nom/829172
Passeriformes;Tyrannidae;829175;Myiodynastes maculatus maculatus;;3;;https://inpn.mnhn.fr/espece/cd_nom/829175
Passeriformes;Tyrannidae;829173;Myiodynastes maculatus solitarius;;3;;https://inpn.mnhn.fr/espece/cd_nom/829173
Passeriformes;Tyrannidae;829174;Tyrannus solitarius;;3;;https://inpn.mnhn.fr/espece/cd_nom/829174
Passeriformes;Tyrannidae;442101;Myiopagis caniceps;Elénie grise ;3;;https://inpn.mnhn.fr/espece/cd_nom/442101
Passeriformes;Tyrannidae;829177;Tyrannula caniceps;Elénie grise ;3;;https://inpn.mnhn.fr/espece/cd_nom/829177
Passeriformes;Tyrannidae;829178;Myiopagis caniceps cinerea;;3;;https://inpn.mnhn.fr/espece/cd_nom/829178
Passeriformes;Tyrannidae;829179;Elaenia cinerea;;3;;https://inpn.mnhn.fr/espece/cd_nom/829179
Passeriformes;Tyrannidae;442102;Myiopagis flavivertex;Élénie à couronne d'or ;3;;https://inpn.mnhn.fr/espece/cd_nom/442102
Passeriformes;Tyrannidae;442103;Myiopagis gaimardii;Élénie de Gaimard ;3;;https://inpn.mnhn.fr/espece/cd_nom/442103
Passeriformes;Tyrannidae;829049;Muscicapara Gaimardii;Élénie de Gaimard ;3;;https://inpn.mnhn.fr/espece/cd_nom/829049
Passeriformes;Tyrannidae;829050;Myiopagis gaimardii guianensis;;3;;https://inpn.mnhn.fr/espece/cd_nom/829050
Passeriformes;Tyrannidae;829051;Elaenia gaimardi guianensis;;3;;https://inpn.mnhn.fr/espece/cd_nom/829051
Passeriformes;Tyrannidae;442104;Myiophobus fasciatus;Moucherolle fascié ;3;;https://inpn.mnhn.fr/espece/cd_nom/442104
Passeriformes;Tyrannidae;442105;Myiornis ecaudatus;Microtyran à queue courte ;3;;https://inpn.mnhn.fr/espece/cd_nom/442105
Passeriformes;Tyrannidae;829056;Myiornis ecaudatus miserabilis;;3;;https://inpn.mnhn.fr/espece/cd_nom/829056
Passeriformes;Tyrannidae;829057;Perissotriccus ecaudatus miserabilis;;3;;https://inpn.mnhn.fr/espece/cd_nom/829057
Passeriformes;Tyrannidae;442106;Myiozetetes cayanensis;Tyran de Cayenne ;3;;https://inpn.mnhn.fr/espece/cd_nom/442106
